Facility Name,Category,Type,City,State,Start date,Gas Flow to project (scfm),Source,Date updated,Latitude,Longitude,x,y
BV Dairy Digester,Ag digester,CNG,Bakersfield,CA,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.214691,-119.2129906,-13270729.409535307,4193095.2033908614
Belonave Dairy Digester,Ag digester,CNG,Bakersfield,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.25092412,-119.1562492,-13264412.985780412,4198033.229856413
Billings City Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Billings,MT,12/7/2010,622,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,45.7254,-108.545,-12083174.12815588,5736453.047515728
Blue Ridge LF,Landfill,Vehicle Fuel - Pipeline Injection,Fresno,TX,11/30/2018,6806,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,29.5559,-95.4419,-10624543.708342537,3446591.709919192
Bos Dairy Digester,Ag digester,CNG,Fair Oaks,IN,2005,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,41.115392,-87.237309,-9711212.816055462,5029376.885312994
Bos Farms Dairy Digester,Ag digester,CNG,Tulare,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.16258075,-119.2365636,-13273353.543891778,4323015.354409456
Boxler Dairy Digester,Ag digester,Cogeneration; Pipeline Gas,Varysburg,NY,2009,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,42.762484,-78.312933,-8717755.82408775,5275889.084009902
Boyd County Sanitary Landfill,Landfill,Other - Pipeline Injection,Ashland,KY,5/13/2021,2153,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,38.3718,-82.747,-9211353.904671008,4632082.647941949
Butler County Landfill Inc.,Landfill,Vehicle Fuel - Pipeline Injection,David City,NE,7/26/2019,750,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,41.2613,-97.0423,-10802699.421408093,5050960.088736115
Carter Valley Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Church Hill,TN,4/1/2009,1200,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,36.5417,-82.7917,-9216329.885909468,4375416.754932296
Cedar Hills Regional LF,Landfill,Vehicle Fuel - Pipeline Injection,Maple Valley,WA,10/1/2010,8333,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,47.442,-122.06,-13587657.046226973,6014520.518737718
